Year;Quarter;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2016;1;66400,88628;63414,06605;61004,85843;2409,207619;2375,66623;;;579,0132982;24,11192814;8,028775014;ors_old_2010_2016
2016;2;66637,78949;63469,67885;61020,893;2448,785841;2511,737364;;;611,8758948;38,22338873;6,273996675;ors_old_2010_2016
2016;3;67381,90149;64066,14469;61495,96353;2570,181167;2672,869955;;;611,4660297;23,51020928;7,910603415;ors_old_2010_2016
2016;4;67452,87252;64304,23114;61863,07589;2441,155254;2492,024251;;;634,6113787;18,68095628;3,324787558;ors_old_2010_2016
2017;1;67339,68228;64316,51422;61628,47264;2688,041571;2444,444717;;;547,0209526;25,63740625;6,064983416;ors_old_2017_2019
2017;2;67311,33885;64097,92983;61955,18841;2142,741422;2573,359148;;;603,0771298;24,59077407;12,38196365;ors_old_2017_2019
2017;3;67714,62294;64180,32289;61888,96653;2291,356361;2919,187489;;;592,6816509;16,80339711;5,627510341;ors_old_2017_2019
2017;4;67713,52515;64453,95453;62320,47382;2133,480712;2595,580478;;;632,0596984;25,31200437;6,618441457;ors_old_2017_2019
2018;1;67214,60037;64157,11798;62210,82081;1946,297174;2429,614159;;;586,415455;31,02901601;10,42375595;ors_old_2017_2019
2018;2;67425,7689;64155,62639;62256,73481;1898,891577;2581,217347;;;662,05256;20,69340317;6,179204239;ors_old_2017_2019
2018;3;67921,22215;64489,07187;62305,31879;2183,753076;2762,555801;;;633,1856657;26,57560494;9,83320432;ors_old_2017_2019
2018;4;67745,27767;64612,32602;62348,59938;2263,726646;2460,752708;;;638,7506035;31,19699424;2,25134189;ors_old_2017_2019
2019;1;66778,08536;63520,98239;61770,20696;1750,775427;2504,604133;;;723,4008494;;29,09798487;ors_old_2017_2019
2019;2;66667,38754;62955,04207;61007,22129;1947,820785;2853,545993;;;827,1276016;;31,67187485;ors_old_2017_2019
2019;3;67414,25128;63809,26455;61885,45492;1923,809633;2720,159086;;;850,4803117;;34,34733536;ors_old_2017_2019
2019;4;67576,1365;64120,24281;62216,10612;1904,136692;2542,120518;;;886,9690784;;26,80409206;ors_old_2017_2019
2020;1;66768,36522;63503,49662;61739,28093;1764,21569;2319,934712;;;905,595284;;39,33859579;ors_old_2020_2021
2020;2;65257,19047;62306,60962;60722,9089;1583,700722;2022,428863;;;857,9023406;;70,24964132;ors_old_2020_2021
2020;3;65420,1113;62062,54222;60278,75529;1783,786926;2360,755303;;;947,1603235;;49,65344871;ors_old_2020_2021
2020;4;65886,05856;62660,22903;60960,27144;1699,95759;2280,349349;;;891,535143;;53,94503517;ors_old_2020_2021
2021;1;66210,589;62888,13364;61190,18042;1697,953223;2142,570137;;;1147,694247;;32,19097729;ors_old_2020_2021
2021;2;66499,22571;63080,89292;61492,10356;1588,78936;2330,387215;;;1057,983014;;29,96256571;ors_old_2020_2021
2021;3;67384,44542;63960,66528;62453,65265;1507,012631;2319,721676;;;1063,417366;;40,64109748;ors_old_2020_2021
2021;4;67650,18506;64488,02845;63128,56477;1359,463676;2037,087799;;;1092,89324;;32,17557632;ors_old_2020_2021
2022;1;66962,13414;63348,56898;;;2112,061988;;;1501,503173;;;ors_old_2022
2022;2;66843,31348;63241,52764;;;2206,696751;;;1395,089088;;;ors_old_2022
2022;3;67171,43194;63734,76963;;;2144,828286;;;1291,834029;;;ors_old_2022
