Year;Quarter;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2015;4;72329,61175;4371,903263;14385,03396;13249,11514;1135,918819;18,18999655;1117,728823;19,88816698;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;;;;;;;ORS_2015
2013;1;70899,29323;4355,298678;13134,88331;12118,86208;1016,021231;16,53446059;999,4867704;18,52611319;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;;;;;;;ORS_2014
2013;2;71399,99768;4057,96674;14112,43722;12837,25845;1275,178776;20,28124801;1254,897528;19,76531888;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;;;;;;;ORS_2014
2013;3;71992,40086;3988,101254;15161,4735;13632,38479;1529,088712;17,03678482;1512,051927;21,05982482;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;;;;;;;ORS_2014
2013;4;71274,14655;4148,40672;13976,44118;12868,71124;1107,729938;20,06167124;1087,668267;19,60941219;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;;;;;;;ORS_2014
2014;1;70834,92196;4144,376343;13612,34694;12633,68235;978,6645858;17,4058407;961,2587451;19,21699998;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;;;;;;;ORS_2014
2014;2;71495,56227;3791,571037;14632,95549;13333,47128;1299,484212;17,39379251;1282,090419;20,46694232;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264097;;;;;;;ORS_2014
2014;3;72160,90684;3693,995339;15201,84432;13532,68065;1669,163671;29,53803782;1639,625633;21,06659269;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;;;;;;;ORS_2014
2014;4;71664,78321;3927,552707;14099,10298;12866,80941;1232,293568;27,4694445;1204,824123;19,67368398;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;;;;;;;ORS_2014
2012;1;70075,88362;4702,415594;12524,31172;11479,65762;1044,654102;12,51789911;1032,136203;17,87249918;65447,57758;62337,12419;59760,06134;2577,062853;2378,318811;;;714,7816148;17,35295797;;;;;;;;ORS_2013
2012;2;71940,89482;4059,683121;13838,3599;12307,56128;1530,798622;17,88822047;1512,910401;19,23573502;66936,52463;63706,61829;61208,89263;2497,725659;2380,351992;;;829,7019635;19,85239152;;;;;;;;ORS_2013
2012;3;72539,69595;3873,203982;14961,69136;13443,28061;1518,410754;12,52864403;1505,88211;20,62552258;67085,8071;63495,93516;61206,77668;2289,158484;2760,991982;;;812,9733152;15,90663916;;;;;;;;ORS_2013
2012;4;71625,18906;3887,337281;13074,84407;11954,22618;1120,617884;17,67405978;1102,943824;18,25453341;66921,38158;63663,51973;61582,85812;2080,661614;2440,503721;;;793,3161011;23,31906106;;;;;;;;ORS_2013
2013;1;70899,29323;4355,298678;13134,88331;12118,86208;1016,021231;16,53446059;999,4867704;18,52611319;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;;;;;;;ORS_2013
2013;2;71399,99768;4057,96674;14112,43722;12837,25845;1275,178776;20,28124801;1254,897528;19,76531888;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;;;;;;;ORS_2013
2013;3;71992,40086;3988,101254;15161,4735;13632,38479;1529,088712;17,03678482;1512,051927;21,05982482;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;;;;;;;ORS_2013
2013;4;71274,14655;4148,40672;13976,44118;12868,71124;1107,729938;20,06167124;1087,668267;19,60941219;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;;;;;;;ORS_2013
2011;1;69504,90919;5514,843603;11999,76918;10923,19792;1076,571255;16,03235055;1060,538904;17,26463543;64750,31892;61957,67107;59162,35383;2795,317238;2135,242504;;;642,6222661;14,78307789;;;;;;;;ORS_2012
2011;2;70858,34192;4846,674971;13088,76941;11684,04492;1404,724491;17,98383389;1386,740657;18,47174103;65799,50857;62752,25782;60240,85917;2511,398649;2351,970152;;;682,6691176;12,6114828;;;;;;;;ORS_2012
2011;3;71987,9548;4692,7754;14321,43879;12558,23059;1763,208201;18,19891388;1745,009288;19,8942154;66391,67592;63291,13992;60809,07515;2482,064775;2421,11921;;;662,7637235;16,65306844;;;;;;;;ORS_2012
2011;4;71075,24654;4635,305047;12277,76513;11088,12601;1189,639125;14,79565949;1174,843466;17,27431944;66367,49288;63351,12067;61152,57552;2198,545149;2339,974303;;;666,6412456;9,756662559;;;;;;;;ORS_2012
2012;1;70075,88362;4702,415594;12524,31172;11479,65762;1044,654102;12,51789911;1032,136203;17,87249918;65447,57758;62337,12419;59760,06134;2577,062853;2378,318811;;;714,7816148;17,35295797;;;;;;;;ORS_2012
